Название товара,Цена,Оценка,Кол-во оценок,Издательство,Серия,Автор,Переплет,Кол-во страниц,Год издания,Размеры,Вес,Раздел_Unknown,Раздел_Авантюрно-приключенческий роман,Раздел_Боевое фэнтези,Раздел_Вестерны,Раздел_Героическая фантастика,Раздел_Героическое фэнтези,Раздел_Графические романы,Раздел_Детективы,Раздел_Журналистские расследования,Раздел_Зарубежная драматургия,Раздел_Зарубежная сентиментальная проза,Раздел_Зарубежная фантастика,Раздел_Зарубежное фэнтези,Раздел_Зарубежные детективы,Раздел_Зарубежные любовные романы,Раздел_Зарубежные приключения,Раздел_Зарубежный фольклор,Раздел_Интеллектуальная проза,Раздел_Историческая проза,Раздел_Исторические детективы,Раздел_Исторические любовные романы,Раздел_Кино и книги,Раздел_Классическая зарубежная литература,Раздел_Классическая поэзия,Раздел_Классическая русская литература,Раздел_Классические детективы,Раздел_Книги на английском языке,Раздел_Комиксы для детей,Раздел_Космическая фантастика,Раздел_Криминальные боевики,Раздел_Культурология. Искусствоведение,Раздел_Любовное фэнтези,Раздел_Любовный роман,Раздел_Манга,Раздел_Мифы и легенды,Раздел_Научная фантастика,Раздел_Национальные кухни,Раздел_Остросюжетные любовные романы,Раздел_Поэзия,Раздел_Русская драматургия,Раздел_Русская сентиментальная проза,Раздел_Русские детективы,Раздел_Русский фольклор,Раздел_Русское фэнтези,Раздел_Сказки и притчи,Раздел_Современная зарубежная проза,Раздел_Современная русская проза,Раздел_Современные детективы,Раздел_Современные любовные романы,Раздел_Социальная фантастика,Раздел_Триллеры,Раздел_Ужасы. Мистика,Раздел_Фантастика и фэнтези для подростков,Раздел_Эпос и фольклор другие издания
1,0.2260434056761268,0.0,0.0,1,1,1,1,368,2024,319.0,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.160601001669449,0.92,0.0030555555555555,7,1,1,1,416,2024,267.8,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.020033388981636,0.76,0.0011111111111111,2,1,1,1,224,2022,275.31,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0.128881469115192,0.91,0.0215625,1,1,1,2,768,2024,205.2,0.36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2140233722871452,0.0,0.0,1,1,1,1,384,2024,0.0,0.01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.3739565943238731,0.0,0.0,2,1,1,1,416,2024,250.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0.2350584307178631,0.0,0.0,7,1,1,1,320,2024,319.0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0.0771285475792988,0.8300000000000001,0.0057986111111111,1,1,1,2,448,2023,178.2,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.2587646076794658,0.0,0.0,1,1,1,1,400,2024,322.5,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,0.0771285475792988,0.92,0.0097916666666666,1,1,1,2,160,2024,208.8,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.0804674457429048,0.94,0.1875,1,1,1,2,672,2024,207.0,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
