"Название товара","Цена","Оценка","Кол-во оценок","Издательство","Серия","Автор","Переплет","Кол-во страниц","Год издания","Размеры","Вес","Раздел_Unknown","Раздел_Авантюрно-приключенческий роман","Раздел_Боевое фэнтези","Раздел_Вестерны","Раздел_Героическая фантастика","Раздел_Героическое фэнтези","Раздел_Графические романы","Раздел_Детективы","Раздел_Журналистские расследования","Раздел_Зарубежная драматургия","Раздел_Зарубежная сентиментальная проза","Раздел_Зарубежная фантастика","Раздел_Зарубежное фэнтези","Раздел_Зарубежные детективы","Раздел_Зарубежные любовные романы","Раздел_Зарубежные приключения","Раздел_Зарубежный фольклор","Раздел_Интеллектуальная проза","Раздел_Историческая проза","Раздел_Исторические детективы","Раздел_Исторические любовные романы","Раздел_Кино и книги","Раздел_Классическая зарубежная литература","Раздел_Классическая поэзия","Раздел_Классическая русская литература","Раздел_Классические детективы","Раздел_Книги на английском языке","Раздел_Комиксы для детей","Раздел_Космическая фантастика","Раздел_Криминальные боевики","Раздел_Культурология. Искусствоведение","Раздел_Любовное фэнтези","Раздел_Любовный роман","Раздел_Манга","Раздел_Мифы и легенды","Раздел_Научная фантастика","Раздел_Национальные кухни","Раздел_Остросюжетные любовные романы","Раздел_Поэзия","Раздел_Русская драматургия","Раздел_Русская сентиментальная проза","Раздел_Русские детективы","Раздел_Русский фольклор","Раздел_Русское фэнтези","Раздел_Сказки и притчи","Раздел_Современная зарубежная проза","Раздел_Современная русская проза","Раздел_Современные детективы","Раздел_Современные любовные романы","Раздел_Социальная фантастика","Раздел_Триллеры","Раздел_Ужасы. Мистика","Раздел_Фантастика и фэнтези для подростков","Раздел_Эпос и фольклор другие издания"
1,0.27111853088480803,0.77,0.0019444444444444444,2,1,1,1,384,2024,276.75,0.41,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.2580968280467446,0.8800000000000001,0.0018055555555555555,3,1,1,1,184,2024,294.58,0.31,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.18330550918196994,0.9,0.0015625,2,1,1,1,352,2024,266.5,0.34,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1,0.27512520868113527,0.9500000000000001,0.0021527777777777778,7,0,1,1,800,2024,322.5,0.86,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,0.34390651085141904,0.86,0.001875,3,1,1,1,408,2024,253.5,0.47,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.08380634390651084,0.0,0.0,1,1,1,2,448,2024,210.6,0.27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.15826377295492486,0.0,0.0,2,1,1,1,416,2024,276.75,0.43,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,0.5362270450751252,0.9500000000000001,0.0019097222222222222,7,1,1,1,482,2024,333.25,0.93,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1,0.01769616026711185,0.79,0.007256944444444444,2,1,1,1,288,2019,275.31,0.3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
1,0.23873121869782973,0.9,0.0038194444444444443,2,1,1,1,512,2024,267.8,0.48,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
